question_id,image_A,image_B,image_C,image_D
49,cluster1_侨光西路_113.260832_23.115976_180.jpg,cluster1_侨光西路_113.260832_23.115976_90.jpg,cluster3_unknown_113.285523_23.124528_90.jpg,cluster3_文明路_113.272118_23.125288_90.jpg
50,cluster1_建设横马路_113.278006_23.135667_270.jpg,cluster5_unknown_113.288563_23.140747_180.jpg,cluster5_unknown_113.28915_23.146828_90.jpg,cluster5_白云路_113.278998_23.122048_270.jpg
51,cluster3_八旗二马路_113.270592_23.118657_90.jpg,cluster4_东皋大道_113.275939_23.131132_180.jpg,cluster5_unknown_113.278825_23.121976_0.jpg,cluster5_unknown_113.291022_23.140839_90.jpg
52,cluster1_环市中路_113.274184_23.141867_0.jpg,cluster4_unknown_113.266646_23.138452_0.jpg,cluster4_unknown_113.272342_23.129415_0.jpg,cluster5_东风中路_113.257053_23.134385_90.jpg
53,cluster3_菜园西_113.28513_23.125685_270.jpg,"cluster5_['东川路', '白云路']_113.280575_23.123159_180.jpg",cluster5_unknown_113.277231_23.119852_270.jpg,cluster5_大沙头三马路_113.280235_23.118728_270.jpg
54,cluster2_解放北路_113.256157_23.145939_270.jpg,cluster3_万福路_113.272447_23.12345_90.jpg,cluster4_东风东路_113.302274_23.134571_0.jpg,"cluster5_['云鹤北街', '云鹤南街']_113.296513_23.145466_0.jpg"
55,cluster1_人民南路_113.24844_23.113819_270.jpg,cluster1_西华路_113.246409_23.132399_180.jpg,cluster4_环市中路_113.269015_23.142464_270.jpg,cluster5_unknown_113.288265_23.140407_270.jpg
56,cluster1_unknown_113.260589_23.118042_0.jpg,cluster2_unknown_113.251711_23.16124_270.jpg,cluster3_人民中路_113.247665_23.120547_0.jpg,cluster4_恒福路辅路_113.285093_23.146552_90.jpg
57,cluster1_unknown_113.25178_23.140881_90.jpg,cluster1_解放北路_113.256582_23.13909_270.jpg,cluster4_unknown_113.270232_23.142314_0.jpg,cluster5_晴波路_113.313136_23.113789_90.jpg
58,cluster1_unknown_113.292415_23.12096_180.jpg,cluster3_广州起义路_113.258854_23.127191_180.jpg,cluster4_unknown_113.269616_23.142276_180.jpg,cluster5_沿江东路_113.275806_23.117578_270.jpg
59,cluster1_unknown_113.289134_23.128903_90.jpg,cluster2_unknown_113.250356_23.160821_90.jpg,cluster4_unknown_113.267889_23.142949_0.jpg,cluster5_unknown_113.30816_23.137576_180.jpg
60,cluster2_unknown_113.240898_23.154384_180.jpg,cluster3_万福路_113.272447_23.12345_270.jpg,cluster3_沿江中路_113.273811_23.118017_0.jpg,cluster5_白云路_113.276885_23.120461_270.jpg
61,cluster1_内环路_113.289959_23.126669_270.jpg,cluster1_盘福立交_113.253509_23.134849_180.jpg,cluster4_unknown_113.287149_23.14709_270.jpg,cluster4_unknown_113.301351_23.129658_90.jpg
62,cluster2_unknown_113.243434_23.152354_0.jpg,cluster3_unknown_113.285422_23.123857_180.jpg,cluster3_中山二路_113.285584_23.127557_270.jpg,cluster3_中山五路_113.257961_23.128117_0.jpg
63,cluster1_一德路_113.249913_23.114957_180.jpg,cluster1_淘金路_113.282536_23.139903_180.jpg,cluster2_内环路_113.2479_23.150347_0.jpg,cluster4_恒福路辅路_113.285093_23.146552_270.jpg
64,cluster1_一德路_113.251777_23.115366_90.jpg,cluster2_unknown_113.251946_23.149373_180.jpg,cluster5_unknown_113.282268_23.122657_90.jpg,cluster5_大沙头三马路_113.279947_23.117902_0.jpg
65,cluster1_一德路_113.256195_23.116348_180.jpg,cluster2_前进北街_113.242696_23.164729_180.jpg,cluster4_水均南街_113.301098_23.133235_0.jpg,cluster5_晴波路_113.30241_23.109878_180.jpg
66,cluster1_unknown_113.288232_23.137949_270.jpg,cluster1_东湖路_113.282861_23.115469_90.jpg,cluster2_内环路-广园广花放射线_113.244109_23.152571_90.jpg,cluster5_东湖路_113.282393_23.115107_0.jpg
67,cluster1_淘金路_113.288406_23.143732_180.jpg,cluster3_挹翠路_113.273011_23.120947_90.jpg,cluster4_小北路_113.266565_23.138842_180.jpg,cluster5_先烈中路辅路_113.296496_23.145783_180.jpg
68,cluster1_淘金北路_113.282494_23.143713_180.jpg,cluster2_站南路_113.251306_23.147466_90.jpg,cluster4_小北路_113.266267_23.135079_270.jpg,cluster5_unknown_113.288357_23.13794_90.jpg
69,cluster1_unknown_113.292948_23.129483_180.jpg,cluster3_unknown_113.267559_23.118342_90.jpg,cluster3_大德路_113.249293_23.119206_0.jpg,cluster3_解放中路_113.257001_23.125832_90.jpg
70,cluster2_环市西路_113.252659_23.14958_270.jpg,cluster3_广州起义路_113.258925_23.125557_270.jpg,cluster5_先烈中路_113.296738_23.145783_270.jpg,cluster5_禺西二路_113.26899_23.12992_180.jpg
71,"cluster1_['旧部前', '卖麻街']_113.251609_23.115809_180.jpg",cluster1_unknown_113.255975_23.138634_90.jpg,cluster3_沿江中路_113.265766_23.117621_180.jpg,cluster3_解放中路_113.257327_23.123146_180.jpg
72,cluster1_建设横马路_113.278606_23.13567_180.jpg,cluster3_unknown_113.28582_23.125128_180.jpg,cluster3_文德路_113.266706_23.125037_270.jpg,cluster5_东湖路_113.283463_23.119432_270.jpg
73,cluster4_unknown_113.283098_23.148947_90.jpg,cluster5_unknown_113.288689_23.137633_270.jpg,cluster5_unknown_113.30359_23.138847_0.jpg,cluster5_大沙头三马路_113.279898_23.11792_0.jpg
74,cluster2_unknown_113.2559_23.14301_180.jpg,cluster2_人民北路_113.251646_23.147281_0.jpg,cluster4_unknown_113.290695_23.149289_180.jpg,cluster5_广卫路_113.262175_23.13009_90.jpg
75,cluster2_unknown_113.24792_23.15674_90.jpg,cluster3_北京路_113.26448_23.121278_180.jpg,cluster4_中山四路_113.267494_23.128894_270.jpg,cluster5_东风中路_113.258291_23.134259_270.jpg
